rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
10891,10.78,+0.8,Sihong WANG,31 JAN 2001,CHN,6h9,,Zhaoqing (CHN),07 APR 2019,952
10891,10.78,+1.6,Duan CHEN,05 MAY 1998,CHN,2h10,,Zhaoqing (CHN),07 APR 2019,952
10891,10.78,+1.7,Takaya NAOI,16 SEP 1997,JPN,6sr1,,Ageo (JPN),07 APR 2019,952
10891,10.78,+1.6,Jinto MASUDA,11 NOV 1999,JPN,3f2,,Chita (JPN),07 APR 2019,952
10891,10.78,-0.1,Kensho KAWAMURA,10 FEB 1998,JPN,1h3,,Chita (JPN),07 APR 2019,952
10891,10.78,+0.6,Stadrian TAYLOR,,USA,4f1,,"Commerce, TX (USA)",11 APR 2019,952
10891,10.78,+1.9,Darnelle HARRIS,,USA,2f2,,"Norwalk, CA (USA)",12 APR 2019,952
10891,10.78,-0.6,Kavacion WEBSTER,,USA,2f2,,"Natchitoches, LA (USA)",12 APR 2019,955
10891,10.78,+0.2,Justin LEWIS,,USA,1f1,,"Riverside, CA (USA)",12 APR 2019,952
10891,10.78,-1.3,Andre MORRISON,12 NOV 1998,JAM,2h3,,Kingston (JAM),12 APR 2019,959
10891,10.78,-1.1,Yonglian HUANG,12 NOV 2000,CHN,1h15,,Huangshi (CHN),12 APR 2019,958
10891,10.78,-1.6,Daniel MARTINEZ,27 AUG 1997,MEX,2,,Queretaro (MEX),12 APR 2019,961
10891,10.78,0.0,Adrian GARCIA,26 APR 1999,MEX,1h3,,Queretaro (MEX),12 APR 2019,952
10891,10.78,+1.5,Kion BENJAMIN,13 NOV 2000,TTO,1,,Scarborough (TTO),13 APR 2019,952
10891,10.78,+1.9,Harrison WAYLEE,,USA,1f4,,"Des Moines, IA (USA)",13 APR 2019,952
10891,10.78,+0.7,Caleb WILLIAMS,,USA,5f1,,"Fairfax, VA (USA)",13 APR 2019,952
10891,10.78,+1.6,Emmanuel AROP,,USA,3f1,,"Muncie, IN (USA)",13 APR 2019,952
10891,10.78,+0.6,Shimpei FUKAGAWA,26 JAN 2002,JPN,3f1,,Osaka (JPN),14 APR 2019,952
10891,10.78,-0.3,Thabang HLHOLO,14 OCT 2002,RSA,2h3,,Abidjan (CIV),16 APR 2019,953
10891,10.78,+0.8,Yateya KAMBEPERA,04 APR 1990,BOT,3f1,,Potchefstroom (RSA),17 APR 2019,952
10891,10.78,+1.1,Steven BASTIEN,04 MAR 1994,USA,2ce10,,"Azusa, CA (USA)",17 APR 2019,952
10891,10.78,+0.8,Xavier BILLUPS,,USA,4h1,,"Hickory, NC (USA)",18 APR 2019,952
10891,10.78,+1.3,Gibran WILLIAMS,,USA,4h4,,"Hickory, NC (USA)",18 APR 2019,952
10891,10.78,+1.7,Adam CLAYTON,26 SEP 2000,GBR,4f6,,"Azusa, CA (USA)",19 APR 2019,952
10891,10.78,0.0,Yann RANDRIANASOLO,03 FEB 1994,FRA,1f3,,"Columbia, SC (USA)",20 APR 2019,952
10891,10.78,+0.8,Armauni ARCHIE,,USA,2,,"Sacramento, CA (USA)",20 APR 2019,952
10891,10.78,+0.9,Alisher SADULAYEV,25 JAN 1997,TKM,4h3,,Doha (QAT),21 APR 2019,952
10891,10.78,-1.0,Jeiniel RIVERA,,PUR,2h1,,Ponce (PUR),25 APR 2019,958
10891,10.78,+0.5,Mark MILTON,1999,USA,9f2,,"Fayetteville, AR (USA)",26 APR 2019,952
10891,10.78,+0.4,Isaac ELLIOTT,,USA,5h2,,"Philadelphia, PA (USA)",26 APR 2019,952
10891,10.78,+0.3,Joshua LESTER-HARRIS,,USA,6f1,,"Montreat, NC (USA)",26 APR 2019,952
10891,10.78,+0.3,Jaevon HARDY,,USA,1,,"Grove City, PA (USA)",26 APR 2019,952
10891,10.78,+0.4,Jaevon HARDY,,USA,1h1,,"Grove City, PA (USA)",26 APR 2019,952
10891,10.78,+0.8,Gregory LADAY,,USA,4f2,,"Irvine, CA (USA)",27 APR 2019,952
10891,10.78,0.0,Carlos WILLIAMS,,USA,1f3,,"Kennesaw, GA (USA)",27 APR 2019,952
10891,10.78,-2.3,Carl JONES,,USA,4,,"Provo, UT (USA)",27 APR 2019,965
10891,10.78,+1.5,Terry SIMS,,USA,2f1,,"San Marcos, TX (USA)",27 APR 2019,952
10891,10.78,+0.7,Brenton SHIPPY,,JAM,3,,"Miami, FL (USA)",27 APR 2019,952
10891,10.78,+1.9,King Yeung MA,17 JAN 2001,HKG,1f2,,Hong Kong (HKG),27 APR 2019,952
10891,10.78,-2.3,Ryosuke OGURA,30 DEC 1996,JPN,1sf2,,Tokyo (JPN),28 APR 2019,965
10891,10.78,+1.0,Obasi DEES,07 OCT 1998,USA,3,,"Claremont, CA (USA)",28 APR 2019,952
10891,10.78,+0.6,Jia-Yi HSIEH,,TPE,3h3,,Chiayi (TPE),29 APR 2019,952
10891,10.78,+1.1,Julius ALLEN,,USA,5h1,,"Greensboro, NC (USA)",03 MAY 2019,952
10891,10.78,+1.8,Mansfield DONOVAN,,USA,1f3,,"Houston, TX (USA)",03 MAY 2019,952
10891,10.78,+1.5,Corey CARROLL,,USA,3,,"Bloomington, IN (USA)",03 MAY 2019,952
10891,10.78,+1.5,Richard CLARK,,USA,4,,"Bloomington, IN (USA)",03 MAY 2019,952
10891,10.78,-2.0,Kevin DYER,04 OCT 1995,USA,6h1,,"Worcester, MA (USA)",03 MAY 2019,964
10891,10.78,-0.2,Raynard BELL,,USA,2f1,,"College Park, MD (USA)",03 MAY 2019,953
10891,10.78,+0.8,Kanon MORITA,29 MAY 2000,JPN,2f1,,Inzai (JPN),03 MAY 2019,952
10891,10.78,+0.9,Joey MCCORMICK,,USA,3h1,,"Warrensburg, MO (USA)",04 MAY 2019,952
10891,10.78,+0.7,Demetrius LANIER,,USA,6,,"Worcester, MA (USA)",04 MAY 2019,952
10891,10.78,+1.9,Stephan CHARLES,,LCA,2h2,,Le Lorrain (FRA),04 MAY 2019,952
10891,10.78,+2.0,Josiah MACINNIS,,USA,8f1,,"Lubbock, TX (USA)",04 MAY 2019,952
10891,10.78,+1.2,Gared BROWN,1998,USA,3h1,,"Natchitoches, LA (USA)",04 MAY 2019,952
10891,10.78,+1.2,Wilshawn WILLIAMS,,USA,3h4,,"Natchitoches, LA (USA)",04 MAY 2019,952
10891,10.78,0.0,Terrance HINDS,,USA,4f1,,"Jamaica, NY (USA)",04 MAY 2019,952
10891,10.78,+1.0,Justin IRELAND,27 SEP 1997,USA,2,,"Manchester, NH (USA)",04 MAY 2019,952
10891,10.78,-2.9,Jevaughn MINZIE,20 JUL 1995,JAM,6f8,,Kingston (JAM),04 MAY 2019,969
10891,10.78,-2.9,Michael BENTLEY,17 JAN 1999,JAM,6f8,,Kingston (JAM),04 MAY 2019,969
10891,10.78,+0.9,Cheuk Yin WONG,27 JUL 1999,HKG,5sf1,,Hong Kong (HKG),04 MAY 2019,952
10891,10.78,+0.7,Adrian AGOSTO,25 MAR 1998,PUR,1,,Peñuelas (PUR),04 MAY 2019,952
10891,10.78,+0.3,Hayaki TAKEZOE,27 MAR 1993,JPN,1sf3,,Wakayama (JPN),04 MAY 2019,952
10891,10.78,+0.6,Cornelius BRIGHT,2000,USA,1h1,,"Mankato, MN (USA)",04 MAY 2019,952
10891,10.78,+0.3,Tyler O'BRYANT,1992,USA,1,,"Brockport, NY (USA)",04 MAY 2019,952
10891,10.78,0.0,Alexander MOLLICK,1996,USA,1h3,,"Allentown, PA (USA)",04 MAY 2019,952
10891,10.78,+0.9,Trei THOROGOOD,,USA,3,,"Charlottesville, VA (USA)",04 MAY 2019,952
10891,10.78,+0.9,Nicholas PRYCE,10 NOV 1992,GBR,3sf2,,Bedford (GBR),05 MAY 2019,952
10891,10.78,+1.6,Kesi OLUDOYI,02 SEP 1998,GBR,3sf3,,Bedford (GBR),05 MAY 2019,952
10891,10.78,+0.7,Jeremy BASCOM,15 OCT 1983,GUY,6h2,,"Clermont, FL (USA)",05 MAY 2019,952
10891,10.78,+1.1,Romone HILL,,JAM,5h3,,"Clermont, FL (USA)",05 MAY 2019,952
10891,10.78,+1.6,Shane CRAWFORD,04 JUN 1988,USA,3h5,,"Clermont, FL (USA)",05 MAY 2019,952
10891,10.78,+0.3,Jordan TURNER,,USA,4,,"Amherst, MA (USA)",05 MAY 2019,952
10891,10.78,-0.2,Hideaki SEO,15 JUN 2000,JPN,5f2,,Mito (JPN),05 MAY 2019,953
10891,10.78,-1.0,Sota KAWATSURA,19 JUN 1989,JPN,3h1,,Mito (JPN),05 MAY 2019,958
10891,10.78,0.0,Stedman COOK,02 APR 1998,USA,5,,"Bowie, MD (USA)",05 MAY 2019,952
10891,10.78,+0.1,Eudel MORETA,,USA,2,,"Glenville, WV (USA)",07 MAY 2019,952
10891,10.78,+0.4,Hiroki KOBAYASHI,05 MAY 1998,JPN,2h4,,Kyoto (JPN),09 MAY 2019,952
10891,10.78,+1.6,Jordan DAVENPORT,,USA,6h4,,"Charlottesville, VA (USA)",10 MAY 2019,952
10891,10.78,+0.4,Nathan GISH,,USA,5h1,,"Clovis, CA (USA)",10 MAY 2019,952
10891,10.78,+1.8,Robert OGBULI,,USA,3,,"La Crosse, WI (USA)",10 MAY 2019,952
10891,10.78,+1.8,Seth HOLDEN,,USA,1h2,,"La Crosse, WI (USA)",10 MAY 2019,952
10891,10.78,+1.7,Jeremiah STEED,,USA,1h2,,"Cedar Rapids, IA (USA)",10 MAY 2019,952
10891,10.78,+1.0,Francesco MOLINARI,29 OCT 1994,SMR,6f1,,Modena (ITA),11 MAY 2019,952
10891,10.78,+0.2,Patston STEWART,,USA,4h2,,"Charlotte, NC (USA)",11 MAY 2019,952
10891,10.78,-1.3,Leonardo STEWART,,JAM,1f4,,Kingston (JAM),11 MAY 2019,959
10891,10.78,-0.8,Robert Cristian BREAHNA,16 AUG 2000,ROU,,,Pitesti (ROU),11 MAY 2019,956
10891,10.78,+1.7,Alessandro PREGNOLATO,03 JUL 1995,ITA,1f4,,Chiari (ITA),11 MAY 2019,952
10891,10.78,+1.3,Riba FUKUMOTO,02 NOV 2003,JPN,1,,Kyoto (JPN),11 MAY 2019,952
10891,10.78,+1.4,Kevin GIACOMELLI,14 DEC 1998,ITA,3f1,,"Campo Coni, Bolzano (ITA)",11 MAY 2019,952
10891,10.78,0.0,Justin HUNTER,,USA,3h2,,"Richmond, VA (USA)",12 MAY 2019,952
10891,10.78,+1.7,Josiah BROOKS,1996,USA,5h5,,"Mount Olive, NC (USA)",12 MAY 2019,952
10891,10.78,-0.4,Kento TERADA,11 NOV 1993,JPN,4sf3,,Gifu (JPN),12 MAY 2019,954
10891,10.78,+1.4,Tommy DAVIS,,USA,2,,"Delaware, OH (USA)",16 MAY 2019,952
10891,10.78,+1.5,Marcus HIGGINBOTTOM,,USA,2h2,,"Delaware, OH (USA)",16 MAY 2019,952
10891,10.78,-0.4,Zhihao ZHONG,27 AUG 2001,CHN,6,,Wuhu (CHN),17 MAY 2019,954
10891,10.78,+1.6,Jianqing SU,21 OCT 2000,CHN,2h1,,Wuhu (CHN),17 MAY 2019,952
10891,10.78,-0.7,Xiaorong ZHANG,16 APR 2000,CHN,1h10,,Wuhu (CHN),17 MAY 2019,956
10891,10.78,-0.4,Matěj KRSEK,13 MAY 2000,CZE,4f1,,Plzen (CZE),18 MAY 2019,954
10891,10.78,-0.3,Stanislav JÍRA,27 FEB 2000,CZE,1h3,,Hradec Králové (CZE),18 MAY 2019,953
10891,10.78,+1.7,Asaf MALKA,01 APR 1980,ISR,1h1,,Tel Aviv (ISR),18 MAY 2019,952
10891,10.78,-0.7,Zalán KÁDASI,08 DEC 1994,HUN,3f1,,Debrecen (HUN),18 MAY 2019,956
10891,10.78,+0.4,Joan MARTÍNEZ,14 JUN 1999,ESP,1,,Palafrugell (ESP),18 MAY 2019,952
10891,10.78,+0.3,Dushawn MIGHTY,,JAM,3f6,,Kingston (JAM),18 MAY 2019,952
10891,10.78,+0.9,Isaac KITCHEN-SMITH,18 OCT 1994,GBR,1f1,,Cambridge (GBR),18 MAY 2019,952
10891,10.78,+0.3,William REPPERT,26 MAR 1999,FRA,1f1,,Angoulême (FRA),19 MAY 2019,952
10891,10.78,+0.8,Kesi OLUDOYI,02 SEP 1998,GBR,2f4,,Loughborough (GBR),19 MAY 2019,952
10891,10.78,-0.1,Davide MARELLI,25 MAR 1994,ITA,1h5,,"Stadium Lido, Locarno (SUI)",19 MAY 2019,952
10891,10.78,-1.3,Zhe LI,16 OCT 1997,CHN,5,,Jinhua (CHN),22 MAY 2019,959
10891,10.78,-0.6,Ze GAO,20 OCT 1994,CHN,1h4,,Jinhua (CHN),22 MAY 2019,955
10891,10.78,-0.3,Zheyang LI,22 JUL 2000,CHN,1h6,,Jinhua (CHN),22 MAY 2019,953
10891,10.78,-0.4,Xin WANG,06 NOV 1999,CHN,2h8,,Jinhua (CHN),22 MAY 2019,954
10891,10.78,+0.9,Julius SHELLMIRE,1997,USA,7h3,,"Sacramento, CA (USA)",23 MAY 2019,952
10891,10.78,-0.7,Yuta MINAMI,05 DEC 1997,JPN,4h1,,Sagamihara (JPN),23 MAY 2019,956
10891,10.78,+1.5,Hikaru IIDA,01 MAR 2001,JPN,3h4,,Sagamihara (JPN),23 MAY 2019,952
10891,10.78,+1.1,Hiromu TOMIYAMA,03 APR 1997,JPN,8h4,,Sagamihara (JPN),23 MAY 2019,952
10891,10.78,-1.2,Yoshiki MINAMIYAMA,15 APR 1998,JPN,4h5,,Sagamihara (JPN),23 MAY 2019,959
10891,10.78,+0.5,D'Andre ANDERSON,2001,JAM,3f1,,Kingston (JAM),25 MAY 2019,952
10891,10.78,+2.0,Kostas SKRABULIS,05 JUL 1992,LTU,8,,Castellón (ESP),25 MAY 2019,952
10891,10.78,+1.6,Maciej BRZEZIŃSKI,27 MAR 1993,POL,1h8,,Łódź (POL),25 MAY 2019,952
10891,10.78,+0.2,Yue-Jun SONG,,TPE,3h8,,Taipei (TPE),25 MAY 2019,952
10891,10.78,+0.8,Mateusz GÓRNY,29 AUG 2002,POL,2h1,,Warszawa (POL),25 MAY 2019,952
10891,10.78,+2.0,András OSZTROGONÁCZ,16 JUN 1994,HUN,2f1,,Budapest (HUN),25 MAY 2019,952
10891,10.78,+0.4,Philip BLÜMEL,1997,GER,5h9,,Weinheim (GER),25 MAY 2019,952
10891,10.78,-1.9,Darien JOHNSON,28 JUL 1993,USA,2,,"Atlanta, GA (USA)",26 MAY 2019,963
10891,10.78,-0.6,Felix KUNSTEIN,2002,GER,2f3,,Bressanone (ITA),26 MAY 2019,955
10891,10.78,-1.4,Steven MÜLLER,15 SEP 1990,GER,1h1,,Osterode (GER),29 MAY 2019,960
10891,10.78,+0.8,Maciej BRZEZIŃSKI,27 MAR 1993,POL,5f1,,Wrocław (POL),29 MAY 2019,952
10891,10.78,+0.7,João ALMEIDA ESTEVES,18 SEP 1998,POR,6f1,,Maia (POR),29 MAY 2019,952
10891,10.78,+0.1,Kexin YUE,10 FEB 1996,CHN,1h9,,Luoyang (CHN),29 MAY 2019,952
10891,10.78,+1.6,Jili SONG,22 AUG 1998,CHN,3h11,,Luoyang (CHN),29 MAY 2019,952
10891,10.78,+0.9,Jun ZHANG,09 NOV 1992,CHN,1h12,,Luoyang (CHN),29 MAY 2019,952
10891,10.78,-1.1,Xinyue PAN,17 JAN 1993,CHN,4h14,,Luoyang (CHN),29 MAY 2019,958
10891,10.78,+1.4,Lion MARTINEZ,26 JAN 1978,SWE,3f2,,"Olympiastadion, Stockholm (SWE)",30 MAY 2019,952
10891,10.78,+0.9,Damian TRZASKA,03 FEB 2000,POL,2,,Zamość (POL),01 JUN 2019,952
10891,10.78,0.0,Michele RANCAN,23 FEB 1998,ITA,1f2,,Vicenza (ITA),01 JUN 2019,952
10891,10.78,+1.6,Alex LESPERANCE,,USA,2,,"La Crosse, WI (USA)",01 JUN 2019,952
10891,10.78,+0.8,David CAMARA,04 FEB 1998,GAM,2h2,,Montgeron (FRA),01 JUN 2019,952
10891,10.78,+1.0,Nicolas-jean MOULIN,21 DEC 1999,FRA,1h3,,Montgeron (FRA),01 JUN 2019,952
10891,10.78,-0.2,Conroy JONES,08 JUL 2002,JAM,2f1,,Kingston (JAM),01 JUN 2019,953
10891,10.78,+0.8,Kishon THOMAS,,GRN,6f1,,Kingston (JAM),01 JUN 2019,952
10891,10.78,+0.3,Terrell CRAIG,03 SEP 1997,GBR,3h4,,Bedford (GBR),01 JUN 2019,952
10891,10.78,+0.3,Krzysztof STUDNICKI,10 OCT 1992,POL,,,Bielsko-Biala (POL),01 JUN 2019,952
10891,10.78,+1.1,Sheldon LOUZA,17 JAN 2000,CAN,6f1,,Calgary (CAN),02 JUN 2019,952
10891,10.78,+0.4,Tobi OGUNKANMI,04 MAY 2001,GBR,1h2,,Bedford (GBR),02 JUN 2019,952
10891,10.78,+1.2,Nicholas PRYCE,10 NOV 1992,GBR,4,,Nuneaton (GBR),02 JUN 2019,952
10891,10.78,+1.2,Morgan AMED,02 APR 1999,GBR,5,,Nuneaton (GBR),02 JUN 2019,952
10891,10.78,+0.8,Gregory MORNET,08 SEP 1987,FRA,1h2,,Poitiers (FRA),05 JUN 2019,952
10891,10.78,+2.0,Douglas HELLBRATT,20 OCT 1995,SWE,6h13,,Skara (SWE),06 JUN 2019,952
10891,10.78,-1.4,Denis BLIZNETS,12 MAR 1995,BLR,2h4,,Minsk (BLR),06 JUN 2019,960
10891,10.78,+0.4,Oluwasegun MAKINDE,06 JUL 1991,CAN,6h2,,Guelph (CAN),07 JUN 2019,952
10891,10.78,+0.3,Lorenzo TONNA,24 SEP 1998,ITA,8,,Rieti (ITA),07 JUN 2019,952
10891,10.78,+1.3,Ishmael SMITH-JOHN,10 APR 1995,GBR,2h1,,Budapest (HUN),08 JUN 2019,952
10891,10.78,-0.2,Mustapha TRAORE,05 APR 1990,MLI,2h1,,Grenoble (FRA),08 JUN 2019,953
10891,10.78,+0.9,Lars HIERONYMI,1995,GER,1f2,,Gladbeck (GER),08 JUN 2019,952
10891,10.78,-0.1,Kyle PLEBAN,1995,USA,5f4,,"Montverde, FL (USA)",08 JUN 2019,952
10891,10.78,+1.4,Paweł DZIDA,13 APR 1999,POL,6f1,,Bielsko-Biala (POL),08 JUN 2019,952
10891,10.78,-0.7,Anderson DEVONISH,12 MAR 1994,BAR,4,,St. Michael (BAR),08 JUN 2019,956
10891,10.78,-0.9,Darian CLARKE,05 MAR 2002,BAR,2h1,,St. Michael (BAR),08 JUN 2019,957
10891,10.78,-0.3,Dapriest HOGANS,,USA,4f6,,"Albuquerque, NM (USA)",08 JUN 2019,953
10891,10.78,-0.5,Ryoga MORIGUCHI,20 MAY 1998,JPN,1ce2,,"Municipal Stadium, Nagano (JPN)",08 JUN 2019,955
10891,10.78,+1.2,Nathan GILBERT,02 MAR 1995,GBR,1f2,,Leigh (GBR),09 JUN 2019,952
10891,10.78,+0.7,Jose Maria MARVIZON,19 APR 1997,ESP,3h1,,Granada (ESP),09 JUN 2019,952
10891,10.78,-1.7,Marvin POPOOLA,05 SEP 1995,GBR,1f1,,Chelmsford (GBR),09 JUN 2019,962
10891,10.78,-0.8,Joel PASCALL-MENZIE,,GBR,2f2,,Hendon (GBR),09 JUN 2019,956
10891,10.78,-0.2,Kaie CHAMBERS-BROWN,26 SEP 1999,GBR,2f1,,Hendon (GBR),09 JUN 2019,953
10891,10.78,-0.6,Travane MORRISON,04 SEP 1992,JAM,1f3,,Hendon (GBR),09 JUN 2019,955
10891,10.78,+1.3,Aleksi LEHTO,27 MAY 1996,FIN,5h1,,"Paavo Nurmi, Turku (FIN)",11 JUN 2019,952
10891,10.78,+1.4,Ville MYLLYMÄKI,15 JAN 1990,FIN,7h2,,"Paavo Nurmi, Turku (FIN)",11 JUN 2019,952
10891,10.78,+0.5,Eliezer ADJIBI,2000,CAN,3f1,,Ottawa (CAN),12 JUN 2019,952
10891,10.78,+0.3,Ignacio SAEZ,16 FEB 2002,ESP,1f2,,Getafe (ESP),13 JUN 2019,952
10891,10.78,-0.9,Sie-young PARK,03 JUN 1999,KOR,1h4,,Kimchun (KOR),13 JUN 2019,957
10891,10.78,+1.1,Tarek OKO MBEA NGALA NENE,02 FEB 1999,FRA,2f1,,St-Denis (FRA),14 JUN 2019,952
10891,10.78,+1.9,Aaron BELL,,USA,1h1,,"Greensboro, NC (USA)",14 JUN 2019,952
10891,10.78,+1.9,Matt HIBBERT,2001,USA,1h1,,"Greensboro, NC (USA)",14 JUN 2019,952
10891,10.78,-1.8,Nikita CHABAN,01 APR 1997,RUS,1h3,,Kaluga (RUS),14 JUN 2019,962
10891,10.78,-1.9,Ignacio CAMINO,06 JUL 1990,ESP,3,,Córdoba (ESP),15 JUN 2019,963
10891,10.78,+1.5,Javier GARCÍA FERNÁNDEZ,17 APR 1997,ESP,1,,Santander (ESP),15 JUN 2019,952
10891,10.78,+0.5,Mihajlo MANDIĆ,31 JUL 2000,SRB,2f1,,Kruševac (SRB),15 JUN 2019,952
10891,10.78,+1.5,Tony DARKWAH,15 JUN 1986,SWE,1,,Halmstad (SWE),15 JUN 2019,952
10891,10.78,+0.7,Ramone ENGLISH,2000,CAN,2,,Calgary (CAN),15 JUN 2019,952
10891,10.78,+0.7,Sheldon LOUZA,17 JAN 2000,CAN,3,,Calgary (CAN),15 JUN 2019,952
10891,10.78,+0.6,Joshua HAMMOND,,USA,2h1,,"Sebastian, FL (USA)",15 JUN 2019,952
10891,10.78,+0.3,Szymon SZACHNIEWICZ,26 MAY 2001,POL,2f1,,"Stadion Miejski, Jelenia Góra (POL)",15 JUN 2019,952
10891,10.78,-1.1,Luis BERTON,25 AUG 1998,FRA,1h1,,Montreuil (FRA),16 JUN 2019,958
10891,10.78,+0.4,Raoni DE PAULA AMARAL,29 OCT 1987,BRA,7f1,,Sao Paulo (BRA),16 JUN 2019,952
10891,10.78,+0.9,James HANSON,,GBR,2f3,,Newham (GBR),16 JUN 2019,952
10891,10.78,+0.9,Jean Cristian ZIRIGNON,03 JUL 1995,SWE,5f2,,Sollentuna (SWE),18 JUN 2019,952
10891,10.78,-0.7,Fabrice DABLA,20 NOV 1992,TOG,6f1,,Bonneuil-sur-Marne (FRA),18 JUN 2019,956
10891,10.78,+0.3,Jason SMYTH,04 JUL 1987,IRL,5f1,,Lee Valley (GBR),19 JUN 2019,952
10891,10.78,+0.1,Nicholas AYIN,1993,CAN,5,,Burnaby (CAN),20 JUN 2019,952
10891,10.78,-1.0,Yaasir ISLAM,,KEN,5,,Nairobi (KEN),20 JUN 2019,958
10891,10.78,+0.6,Javon RAWLINS,2000,TTO,2f2,,"Houston, TX (USA)",20 JUN 2019,952
10891,10.78,+1.4,Camille SNYDERS,1997,BEL,2f1,,Ninove (BEL),21 JUN 2019,952
10891,10.78,+0.7,Yacouba PFÄLZNER,20 AUG 1999,GER,3,,Berlin (GER),21 JUN 2019,952
10891,10.78,0.0,James ADEBOLA,2002,GER,1h2,,Berlin (GER),21 JUN 2019,952
10891,10.78,+1.0,Davide GIAMBELLINI,20 OCT 2002,ITA,2f1,,Agropoli (ITA),21 JUN 2019,952
10891,10.78,-0.6,Vashaun VASCIANNA,29 OCT 2002,JAM,2h2,,Kingston (JAM),21 JUN 2019,955
10891,10.78,-0.6,Rahiem SCOTT,12 DEC 2002,JAM,2h2,,Kingston (JAM),21 JUN 2019,955
10891,10.78,0.0,Hayato KOTANI,12 FEB 2001,JPN,2h3,,Kyoto (JPN),21 JUN 2019,952
10891,10.78,-1.8,Yusuke ROKUROUMEN,02 APR 1998,JPN,1h9,,Kyoto (JPN),21 JUN 2019,962
10891,10.78,-1.8,Shinichiro KITAGAWA,05 NOV 1997,JPN,2h9,,Kyoto (JPN),21 JUN 2019,962
10891,10.78,-2.8,Keisuke SASAKI,04 DEC 1999,JPN,3sf1,,Kyoto (JPN),21 JUN 2019,968
10891,10.78,+1.3,Omri SADAN,15 APR 1995,ISR,1f2,,Tel Aviv (ISR),22 JUN 2019,952
10891,10.78,+1.2,Josselin COLLET,28 JUN 1996,FRA,1sf5,,Angers (FRA),22 JUN 2019,952
10891,10.78,-0.1,Xavier RATO,25 OCT 1999,POR,4,,Vagos (POR),22 JUN 2019,952
10891,10.78,-1.9,Rechmial MILLER,27 JUN 1998,GBR,5,,Bedford (GBR),22 JUN 2019,963
10891,10.78,-2.0,Jeremiah AZU,15 MAY 2001,GBR,1h5,,Bedford (GBR),22 JUN 2019,964
10891,10.78,-1.0,Vladimir VALENCIA,12 JUN 1989,COL,5f1,,Cali (COL),22 JUN 2019,958
10891,10.78,+0.2,Milo SKUPIN-ALFA,07 FEB 1999,GER,3f1,,Koblenz (GER),22 JUN 2019,952
10891,10.78,+0.2,Krzysztof MICHAŁOWICZ,27 AUG 1999,POL,5,,Kraków (POL),22 JUN 2019,952
10891,10.78,-1.4,Vladislav SHAMARIN,23 JUL 1998,RUS,2h2,,Zhukovskiy (RUS),22 JUN 2019,960
10891,10.78,0.0,José GONZALEZ,05 JAN 1997,ESP,1,,Toledo (ESP),22 JUN 2019,952
10891,10.78,+1.6,Alagie SONKO,09 OCT 1996,GAM,3h1,,Lokeren (BEL),23 JUN 2019,952
10891,10.78,+1.4,Cafer GÜNES,15 AUG 1999,TUR,1h3,,Bursa (TUR),24 JUN 2019,952
10891,10.78,+0.7,Reinis KREIPĀNS,17 MAR 1994,LAT,1,,Jelgava (LAT),26 JUN 2019,952
10891,10.78,-0.2,Won-jin PARK,09 MAR 2003,KOR,1,,Jeongseon (KOR),26 JUN 2019,953
10891,10.78,+0.7,Fabrice DABLA,20 NOV 1992,TOG,3f2,,Bruay-la-Buissiere (FRA),28 JUN 2019,952
10891,10.78,0.0,Joel SCHÜPBACH,10 MAY 1999,SUI,2h1,,Nottwil (SUI),29 JUN 2019,952
10891,10.78,-2.1,Raphael KAPENDA,04 AUG 1998,BEL,1,,Lebbeke (BEL),29 JUN 2019,964
10891,10.78,-0.9,Mathieu DUNAND,25 NOV 1998,FRA,5h3,,Chateauroux (FRA),29 JUN 2019,957
10891,10.78,-0.9,Judicael TABERE,05 AUG 1999,FRA,6h3,,Chateauroux (FRA),29 JUN 2019,957
10891,10.78,+0.8,Javier OCAÑA,04 MAY 1997,ESP,7,,Tarragona (ESP),29 JUN 2019,952
10891,10.78,-0.1,Mahamat Zakaria KHALID,2002,QAT,2h1,,Mannheim (GER),29 JUN 2019,952
10891,10.78,-1.3,Tilen OVNIČEK,17 SEP 1998,SLO,1h3,,Nova Gorica (SLO),29 JUN 2019,959
10891,10.78,+0.7,Florian DAUM,09 NOV 1990,GER,5,,St. Wendel (GER),29 JUN 2019,952
10891,10.78,-0.6,Thiago Henrique FONSECA,10 MAR 2001,BRA,3,,Recifé (BRA),29 JUN 2019,955
10891,10.78,+0.7,Jacob EL AIDA CHAFFEY,08 NOV 2001,MLT,1,,Marsa (MLT),29 JUN 2019,952
10891,10.78,+1.6,Jacob EL AIDA CHAFFEY,08 NOV 2001,MLT,1h3,,Marsa (MLT),29 JUN 2019,952
10891,10.78,+0.6,Lasse HÄMELAHTI,23 DEC 2000,FIN,1,,Jämsä (FIN),30 JUN 2019,952
10891,10.78,-1.0,Konsta ALATUPA,25 JUN 1999,FIN,3f1,,Jämsä (FIN),30 JUN 2019,958
10891,10.78,+0.8,Eerikki PEKKOLA,14 SEP 1993,FIN,4f2,,Jämsä (FIN),30 JUN 2019,952
10891,10.78,+0.1,Michael OWUSU-PEPRAH,17 JUL 1994,GER,1h1,,Rheinau-Freistett (GER),30 JUN 2019,952
10891,10.78,+1.0,Jordan PAQUOT,29 DEC 1998,BEL,1,,Liège (BEL),30 JUN 2019,952
